startstationname,num_start,num_end,diff
E 53 St & Lexington Ave,2744,2739,-5
N 6 St & Bedford Ave,2735,2766,31
Broadway & Berry St,2732,2757,25
E 110 St & Madison Ave,2730,2747,17
DeKalb Ave & S Portland Ave,2722,2736,14
Watts St & Greenwich St,2710,2721,11
E 30 St & Park Ave S,2709,2662,-47
Lenox Ave & W 126 St,2701,2692,-9
E 81 St & 2 Ave,2681,2391,-290
E 58 St &  1 Ave (NW Corner),2668,2609,-59
W 42 St & 6 Ave,2654,2637,-17
Bayard St & Baxter St,2632,2672,40
Avenue C & E 18 St,2626,2487,-139
4 Ave & E 12 St,2621,2659,38
Lispenard St & Broadway,2621,2690,69
W 45 St & 8 Ave,2616,2584,-32
Cathedral Pkwy & Broadway,2593,2588,-5
Reade St & Broadway,2576,2626,50
W 40 St & 5 Ave,2572,2547,-25
5 Ave & E 63 St,2571,2580,9
W 84 St & Columbus Ave,2564,2467,-97
E 25 St & 1 Ave,2564,2495,-69
Centre St & Worth St,2561,2539,-22
9 Ave & W 18 St,2544,2631,87
Rivington St & Chrystie St,2523,2745,222
E 48 St & 5 Ave,2521,2529,8
Howard St & Centre St,2508,2497,-11
W 16 St & The High Line,2498,2462,-36
Madison St & Clinton St,2486,2492,6
3 Ave & E 62 St,2481,1997,-484
West End Ave & W 94 St,2473,2468,-5
E 45 St & 3 Ave,2468,2471,3
E 24 St & Park Ave S,2452,2459,7
Atlantic Ave & Fort Greene Pl,2420,2432,12
Center Blvd & 48 Ave,2415,2407,-8
Broadway & W 53 St,2415,2345,-70
Hope St & Union Ave,2408,2415,7
William St & Pine St,2401,2402,1
N 12 St & Bedford Ave,2399,2412,13
44 Dr & Jackson Ave,2398,2346,-52
Broadway & W 41 St,2397,2368,-29
W 31 St & 7 Ave,2395,2420,25
Spruce St & Nassau St,2388,2368,-20
W 87 St & West End Ave,2376,2184,-192
Riverside Dr & W 78 St,2366,2382,16
Mercer St & Spring St,2364,2445,81
11 Ave & W 59 St,2341,2306,-35
Maiden Ln & Pearl St,2339,2352,13
E 77 St & 3 Ave,2337,2156,-181
W 67 St & Broadway,2325,2098,-227
Avenue D & E 3 St,2319,2336,17
E 89 St & 3 Ave,2316,2268,-48
Hanson Pl & Ashland Pl,2313,2382,69
LaGuardia Pl & W 3 St,2302,2374,72
Pike St & E Broadway,2301,2328,27
Jay St & Tech Pl,2295,2456,161
Stagg St & Union Ave,2289,2285,-4
W 13 St & 5 Ave,2287,2298,11
Lexington Ave & E 29 St,2281,2278,-3
Leonard St & Church St,2277,2310,33
